iter	Passed	Remaining
470	523144	587566
471	524364	586577
472	525477	585468
473	526573	584340
474	527714	583263
475	528878	582210
476	530015	581127
477	531204	580101
478	532395	579077
479	533513	577972
480	534649	576887
481	535831	575851
482	536965	574764
483	538078	573653
484	539199	572552
485	540355	571487
486	541453	570360
487	542544	569227
488	543662	568121
489	544791	567028
490	545858	565869
491	546959	564747
492	548048	563612
493	549173	562513
494	550286	561403
495	551367	560260
496	552466	559136
497	553563	558009
498	554667	556890
499	555782	555782
500	556872	554649
501	557952	553507
502	559045	552376
503	560138	551247
504	561215	550102
505	562288	548953
506	563372	547816
507	564465	546687
508	565535	545535
509	566610	544390
510	567683	543242
511	568737	542078
512	569811	540932
513	570876	539777
514	572011	538690
515	573083	537543
516	574161	536401
517	575230	535253
518	576322	534125
519	577403	532987
520	578475	531841
521	579553	530702
522	580640	529571
523	581730	528441
524	582801	527296
525	583887	526164
526	584952	525014
527	586025	523871
528	587123	522750
529	588226	521634
530	589281	520476
531	590339	519321
532	591417	518184
533	592474	517028
534	593576	515912
535	594670	514789
536	595770	513672
537	596899	512579
538	597992	511455
539	599093	510339
540	600220	509244
541	601303	508112
542	602404	506996
543	603473	505853
544	604582	504743
545	605658	503605
546	606762	502492
547	607854	501369
548	608931	500233
549	609994	499086
550	611033	497919
551	612112	496786
552	613227	495683
553	614332	494570
554	615407	493435
555	616489	492304
556	617544	491153
557	618663	490052
558	619738	488917
559	620814	487782
560	621883	486643
561	622961	485510
562	624047	484384
563	625129	483255
564	626219	482133
565	627311	481012
566	628399	479889
567	629465	478748
568	630566	477634
569	631646	476505
570	632750	475394
571	633945	474350
572	635092	473271
573	636208	472168
574	637345	471081
575	638520	470021
576	639632	468915
577	640841	467880
578	642015	466819
579	643168	465742
580	644413	464731
581	645523	463623
582	646625	462509
583	647846	461479
584	649051	460438
585	650209	459362
586	651399	458310
587	652523	457210
588	653760	456189
589	654877	455084
590	655973	453964
591	657149	452900
592	658306	451822
593	659539	450796
594	660712	449728
595	661912	448678
596	663093	447615
597	664275	446552
598	665384	445441
599	666512	444341
600	667627	443233
601	668775	442147
602	669897	441043
603	671068	439971
604	672237	438898
605	673354	437791
606	674463	436679
607	675547	435550
608	676628	434419
609	677721	433297
610	678841	432191
611	680015	431120
612	681210	430062
613	682412	429008
614	683521	427895
615	684621	426776
616	685690	425639
617	686785	424517
618	687978	423456
619	689074	422335
620	690160	421209
621	691237	420076
622	692371	418978
623	693457	417852
624	694553	416731
625	695596	415579
626	696714	414472
627	697764	413325
628	698875	412214
629	700003	411113
630	701108	409998
631	702245	408902
632	703320	407770
633	704382	406630
634	705479	405511
635	706538	404371
636	707611	403238
637	708677	402102
638	709752	400971
639	710862	399860
640	711928	398724
641	713012	397599
642	714088	396469
643	715210	395364
644	716285	394234
645	717365	393107
646	718451	391983
647	719515	390847
648	720585	389715
649	721641	388576
650	722716	387447
651	723795	386320
652	724864	385188
653	725941	384060
654	727018	382933
655	728121	381819
656	729224	380706
657	730294	379575
658	731373	378449
659	732448	377321
660	733508	376186
661	734602	375068
662	735684	373945
663	736764	372820
664	737850	371698
665	738922	370570
666	739997	369443
667	741060	368311
668	742129	367182
669	743200	366053
670	744296	364938
671	745346	363800
672	746455	362691
673	747542	361570
674	748615	360444
675	749717	359332
676	750783	358202
677	751853	357075
678	752924	355948
679	753999	354823
680	755037	353681
681	756102	352551
682	757171	351425
683	758244	350300
684	759319	349175
685	760385	348048
686	761456	346922
687	762519	345793
688	763607	344676
689	764689	343555
690	765749	342426
691	766805	341295
692	767903	340182
693	768976	339058
694	770050	337935
695	771108	336806
696	772183	335683
697	773264	334564
698	774346	333445
699	775418	332322
700	776545	331222
701	777646	330112
702	778724	328991
703	779800	327870
704	780891	326755
705	781977	325639
706	783037	324512
707	784105	323388
708	785178	322266
709	786277	321155
710	787338	320029
711	788394	318901
712	789458	317776
713	790530	316654
714	791594	315530
715	792673	314412
716	793728	313284
717	794796	312162
718	795841	311031
719	796925	309915
720	797995	308794
721	799053	307668
722	800123	306547
723	801233	305442
724	802313	304325
725	803394	303209
726	804459	302087
727	805557	300977
728	806638	299861
729	807737	298752
730	808808	297632
731	809877	296512
732	810957	295396
733	812063	294290
734	813143	293174
735	814218	292056
736	815313	290946
737	816408	289836
738	817512	288728
739	818571	287606
740	819643	286488
741	820707	285367
742	821773	284247
743	822881	283142
744	823947	282022
745	825018	280904
746	826089	279786
747	827168	278671
748	828270	277564
749	829346	276448
750	830430	275335
751	831507	274220
752	832597	273109
753	833669	271993
754	834764	270883
755	835838	269768
756	836918	268654
757	838005	267542
758	839088	266429
759	840180	265320
760	841260	264206
761	842372	263103
762	843428	261982
763	844492	260864
764	845577	259752
765	846667	258642
766	847754	257531
767	848825	256416
768	849905	255303
769	850981	254189
770	852039	253070
771	853108	251954
772	854190	250842
773	855278	249732
774	856394	248630
775	857452	247512
776	858511	246393
777	859579	245278
778	860669	244169
779	861739	243054
780	862830	241946
781	863906	240833
782	864981	239720
783	866040	238602
784	867122	237492
785	868223	236386
786	869355	235289
787	870534	234204
788	871699	233116
789	872869	232028
790	874006	230932
791	875268	229868
792	876435	228779
793	877590	227687
794	878689	226580
795	879903	225502
796	881060	224410
797	882257	223328
798	883422	222237
799	884603	221150
800	885714	220046
801	886835	218944
802	887983	217848
803	889154	216759
804	890273	215656
805	891391	214553
806	892532	213455
807	893666	212356
808	894744	211243
809	895841	210135
810	896973	209035
811	898109	207936
812	899202	206827
813	900314	205722
814	901406	204613
815	902505	203506
816	903636	202405
817	904748	201301
818	905838	200191
819	906948	199086
820	908055	197980
821	909165	196875
822	910238	195762
823	911334	194653
824	912434	193546
825	913593	192451
826	914657	191336
827	915786	190235
828	916934	189138
829	918109	188046
830	919260	186949
831	920407	185851
832	921591	184760
833	922680	183650
834	923780	182543
835	924890	181437
836	926037	180339
837	927172	179238
838	928301	178136
839	929441	177036
840	930521	175925
841	931653	174823
842	932769	173718
843	933941	172624
844	935100	171527
845	936174	170414
846	937260	169304
847	938336	168192
848	939466	167090
849	940632	165993
850	941757	164890
851	942853	163782
852	943993	162681
853	945115	161577
854	946237	160472
855	947334	159364
856	948419	158254
857	949542	157150
858	950685	156049
859	951920	154963
860	953074	153864
861	954279	152773
862	955433	151673
863	956596	150575
864	957724	149471
865	958880	148371
866	960126	147285
867	961281	146185
868	962539	145100
869	963731	144005
870	964822	142895
871	965929	141787
872	967098	140689
873	968226	139584
874	969349	138478
875	970536	137381
876	971693	136280
877	972790	135171
878	973873	134059
879	975002	132954
880	976122	131848
881	977244	130742
882	978368	129636
883	979484	128529
884	980569	127418
885	981669	126309
886	982789	125203
887	983873	124092
888	984946	122979
889	986060	121872
890	987114	120758
891	988210	119648
892	989322	118541
893	990402	117430
894	991506	116322
895	992590	115211
896	993664	114099
897	994727	112986
898	995830	111878
899	996905	110767
900	997972	109655
901	999048	108544
902	1000117	107432
903	1001191	106321
904	1002311	105214
905	1003408	104106
906	1004501	102997
907	1005557	101884
908	1006698	100780
909	1007772	99669
910	1008875	98561
911	1009987	97454
912	1011093	96347
913	1012174	95237
914	1013256	94127
915	1014316	93015
916	1015375	91904
917	1016462	90795
918	1017563	89687
919	1018647	88578
920	1019757	87471
921	1020819	86359
922	1021931	85253
923	1023013	84143
924	1024160	83040
925	1025258	81932
926	1026320	80821
927	1027391	79711
928	1028462	78601
929	1029525	77491
930	1030607	76382
931	1031712	75275
932	1032834	74169
933	1033898	73059
934	1035036	71954
935	1036178	70849
936	1037314	69744
937	1038413	68637
938	1039521	67530
939	1040611	66421
940	1041717	65314
941	1042791	64205
942	1043880	63097
943	1044962	61989
944	1046048	60881
945	1047206	59777
946	1048276	58668
947	1049347	57559
948	1050403	56449
949	1051478	55340
950	1052541	54231
951	1053632	53124
952	1054715	52016
953	1055803	50908
954	1056882	49800
955	1057950	48692
956	1059073	47586
957	1060149	46478
958	1061287	45373
959	1062393	44266
960	1063484	43159
961	1064562	42051
962	1065616	40942
963	1066701	39835
964	1067757	38726
965	1068804	37618
966	1069867	36510
967	1070931	35402
968	1072016	34295
969	1073106	33188
970	1074204	32082
971	1075375	30977
972	1076503	29872
973	1077651	28766
974	1078755	27660
975	1079833	26553
976	1080965	25447
977	1082072	24341
978	1083178	23234
979	1084273	22128
980	1085409	21022
981	1086558	19916
982	1087723	18811
983	1088892	17705
984	1090026	16599
985	1091166	15493
986	1092338	14387
987	1093425	13280
988	1094526	12173
989	1095611	11066
990	1096717	9960
991	1097776	8853
992	1098903	7746
993	1099994	6639
994	1101142	5533
995	1102286	4426
996	1103481	3320
997	1104626	2213
998	1105728	1106
999	1106809	0
